asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
0502,100-1000ul pipette,QC,Thermo Fisher Scientific,4510054,DH59863,VWR,40000-208,N/A,No,100-1000ul pipette,PK and Anti-Drug Antibody Assays,100µl to 1000µl,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0503,SciLog SciCon in-line Conductivity Meter,,SciLog,080-590,SC0807-1098,,,5194,No,SciLog SciCon in-line Conductivity Meter,In-line conductivity meter,1µs/cm to 200ms/cm,Other,No,No,No,Equipment is supplies with pre calibrated flow cells; which are getting a part number,,FALSE,No,There are no working parts that will need maintenance. Unit comerd w/ pre calibrated flow cells,,FALSE,,,No,,,n/a,owner and/or location may have chg'd. update AF.
0504,SciLog SciPress in-line Pressure Monitor,,SciLog,080-690,SP0807-1048,,080-690,5194,No,SciLog SciPress in-line Pressure Monitor,Pressure monitor will be used for most filtration steps to monitor process pressures,0-100 psi,GMP,No,Yes,No,Equipment is supplied w/ Pre-Calibrated Flow Cells; which are getting a part number,N/A,FALSE,No,There are no working parts that need to be maintained. Unit comes w/ Pre-calibrated flow cells,,FALSE,,,No,,,n/a,Single Use: discarded after use
0505,Freezer -80ºC,,Thermo Electron Corp.,5656,813191108,VWR,53516-568,4955,No,Freezer -80ºC,To store non-GLP materials accept in on emergency,°-65°C,Other,No,Yes,Yes,n/a,,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
0508,Cobex Chart Recorder,,Cobex,N/A,C97-R-309R,,,3028,No,Cobex Chart Recorder,Associated with #430,Ambient to -90°C,Other,No,No,Yes,n/a,± 5°C,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Associated with 0430
0509,Environmental cold room 2ºC to 8ºC,PD,Harris Environmental Systems,Custom Built,49868,,,4385,No,Environmental cold room 2ºC to 8ºC,Used to store raw materials intermediate materials; solids and liquids,2°C to 8°C,Other,No,No,Yes,n/a,+/- 0.5C,CAL-6,Yes,n/a,,PM-6,,,No,,,07039-IOQ,Associated with chart 510
0510,Chart Recorder- Honeywell for 2ºC to 8ºC cold room,PD,Honeywell,DR4300,0723Y774538200001,,,4385,No,Chart Recorder- Honeywell for 2ºC to 8ºC cold room,Record temperature continually; within; cold room,Ambient to -10°C,Other,No,Yes,Yes,n/a,+/- 1°C,CAL-6,Yes,n/a,,PM-6,,,No,,,07039-IOQ,Associated with 0509
0511,Biotek ELX405 Microplate Washer,BD,Biotek,ELX405US,208265,Biotek,N/A,N/A,No,Biotek ELX405 Microplate Washer,Washing assay plates,n/a,Other,Yes,Yes,Yes,n/a,per mfr's spec,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,vendor IOQ filed in folder
0516,12 channel variable volume pipette (5-50uL),BD,VWR,VWR VE202,742282236,VWR,53495-338,N/A,No,12 channel variable volume pipette (5-50uL),Performing bioassays,5µL to 50µL,Other,No,No,Yes,n/a,5 ul = +/- 3%; 50 ul = +/- 1%,CAL-12,Yes,Re-calibrated every 6 months,,PM-12,,,No,,,n/a,Level 4
0517,12 channel variable volume pipette (50-300uL),BD,VWR,VWR VE203,742282237,VWR,53495-346,N/A,No,12 channel variable volume pipette (50-300uL),Performing bioassays,50µL to 300µL,Other,No,No,Yes,n/a,50 uL = +/- 1.5%; 300 uL = +/- 0.7%,CAL-12,Yes,Re-calibrated every 10 months,,PM-12,,,No,,,n/a,Level 4-owner chg'd to Lynne. Need to update AF.
0518,BSC,,Labconco,36208,070672833AD,VWR,46620-212,4955,No,BSC,Used to handle BL-2 preclinical and clinical samples,n/a,Other,No,No,Yes,n/a,dwn flow vel 50-60 lfm; inflow vel 100-110 lfm,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
0519,BSC,,Labconco,36208,070672831AD,VWR,46620-212,4955,No,BSC,These will be used for handeling any BL-2 preclinical and clinical samples,n/a,Other,No,No,Yes,n/a,dwn flow vel 50-60 lfm; inflow vel 100-110 lfm,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
0520,Pipette Lite L-20,QC,Rainin,L-20,I0721890A,Rainin,L-20,5684,No,Pipette Lite L-20,Measurement of small volumes of liquid,1-20µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0521,Pipette Lite L-10,QC,Rainin,L-10,G0704752A,Rainin,L-10,5684,No,Pipette Lite L-10,Measurement of small volumes of liquid,1-10µL,GMP,No,No,Yes,n/a,1 ul = +/- 2.5%; 5 ul = +/- 1.5%; 10 ul = +/- 1%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0523,Refigerated Centrifuge,,Beckman,GS6R,NGR97M90,,,,No,Refigerated Centrifuge,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0524,CO2 Incubator,PD,Bellco,DG927,5070107,N/A,N/A,N/A,No,CO2 Incubator,To grow cells ,,Other,No,Yes,Yes,n/a,± 0.5% Co2 & ± 0.5°C,CAL-12,No,Clean interiror of the incubator on a regular basis,,FALSE,,,No,,,n/a,
0526,Superose 12 10/300GL,,GE Healthcare,10/300GL,733028,GE Healthcare,17-5173-01,5987,No,Superose 12 10/300GL,This HPLC column is used for porduct purity evaluation,n/a,Other,No,Yes,No,System suitability is required on a per assay basis and described in the method SOP,N/A,FALSE,No,No PM. Required-cleaning is detailed in the method SOP,,FALSE,,,No,,,n/a,
0527,Sanyo Freezer -20°C,MM,Sanyo,MDF-U730M,70990231,N/A,N/A,5899,No,Sanyo Freezer -20°C,Used to store manufacturing materials including but not limited to reagents; controlled raw materials; in-process intermediates; drug substance; drug product and other materials as needed to support the manufacturing group,-20°C +/- 5°C,GMP,No,No,Yes,n/a,-20C +/- 2.0°C,CAL-6,Yes,n/a,(1)Clean compressor compartment; condenser and fan blades (2)remove ice build-up from sublids and breaker strips (3)check back-up alarm battery out of circuit,PM-6,,,Yes,,,07062-IOQ,Associated with chart 0533-In some PM checks; remove ice buildup from sublids and breaker strips  and clean filter screen are not applicable.  Check with Alert.
0529,Freezer -80ºC Revco,,Revco,ULT21869D40,P27S239329RS,,,,No,Freezer -80ºC Revco,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0530,Binder Incubator,QC,Binder,BD23ul,07-13594,VWR,47746-788,5673,No,Binder Incubator,Assay development. Microbiology testing,37°C,GMP,No,No,Yes,n/a,+/- 0.5 @ 37C,CAL-6,Yes,n/a,(1) Inspect inner & outer door seals & gaskets (2) Check overtemp & safety alarms,PM-6,,,Yes,,,08019-IOQ,Associated with 0710
0531,Binder Incubator,BD,Binder,KB23ul,06-99667,VWR,89038-804,5673,No,Binder Incubator,Assay development,25°C,,No,No,Yes,n/a,+/- 0.5 @ 25C UUT,CAL-12,No,Preventative maintanence is perfiormed during calibration,,FALSE,,,No,,,08016-IOQ,
0543,Refrigerated recirculating chiller,,Cole Parmer,12920-40,107B00478,N/A,5160M41C130D,N/A,Yes,Refrigerated recirculating chiller,Temp controller for 250L sub mixer,n/a,GMP,Yes,Yes,Yes,n/a,TBD,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Not in use…Cal/Pm will be determined once used fior GMP
0544,20-200ul single channel pipettor,,VWR,VWR VE200,72252223,,,,Yes,20-200ul single channel pipettor,Anti-drug and PK Elisas development; General labe use,20µl to 200µl,Other,No,No,Yes,n/a,,CAL-12,Yes,Preventative maintenanace taken care of during scheduled calibration,,PM-12,,,No,,,n/a,Level 2-AF needs to be updated. Owner is no longer Ryan.
0546,2-20ul single channel pipettor,,VWR,VWR VE1001,742263731,,,,Yes,2-20ul single channel pipettor,Anti-drug and PK Elisas; development; General labe use,2µl to 20µl,Other,No,No,Yes,n/a,,CAL-12,Yes,Preventative maintenance taken care of during scheduled calirbation,,PM-12,,,No,,,n/a,Level 2-AF needs to be updated. Owner is no longer Ryan.
0549,100-1000ul single channel pipettor,PD,VWR,Signature,742261965,VWR,N/A,N/A,Yes,100-1000ul single channel pipettor,"Sampling, media and buffer preparation",100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0550,2-20ul single channel pipettor,PD,VWR,Signature,742231211,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0551,20-200ul single channel pipettor,PD,VWR,Signature,742250284,VWR,N/A,N/A,Yes,20-200ul single channel pipettor,"Sampling, buffer and media preparation",20-200 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require calibration,N/A,N/A,N/A
0552,50-300ul 8 channel pipettor,PD,ThermoScientific,4510,DH44925,VWR,N/A,N/A,Yes,50-300ul 8 channel pipettor,"Sampling, media and buffer creation",50-300 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0553,0.5-10ul single channel pipettor,,VWR,Signature,442220075,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0554,2-20ul single channel pipettor,,VWR,Signature,442230236,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0556,20-200ul single channel pipettor,,VWR,Signature,442251674,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0557,100-1000 ul Pipette,PD,VWR,Signature,442263411,VWR,N/A,N/A,Yes,single channel pipettor,To measure small amounts of liquid for development processes,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0558,2-20ul single channel pipettor,PD,VWR,Signature,442232936,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0559,20-200ul single channel pipettor,,VWR,Signature,442253245,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0560,100-1000ul single channel pipettor,,VWR,Signature,542261448,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0561,2-20ul single channel pipettor,,VWR,Signature,442232926,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0562,20-200ul single channel pipettor,,VWR,Signature,442254649,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0563,2-20ul single channel pipettor,,VWR,Signature,442232453,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0564,20-200ul single channel pipettor,PD,VWR,Signature,442252808,VWR,N/A,N/A,Yes,20-200ul single channel pipettor,"Sampling, media and buffer preparation",20-200 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0565,50-300ul Multi-channel pipette (8 channels),,Finnpipette,4510,S29110,,,,Yes,50-300ul Multi-channel pipette (8 channels),,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0566,20-200ul pipette,,VWR,V-3 Series,541451297,,,,Yes,20-200ul pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0567,100-1000ul single channel pipettor,,VWR,Signature,442263443,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0568,5-10ul pipette,,VWR,V-3 Series,741420006,,,,Yes,5-10ul pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0569,100-1000ul pipette,,VWR,V-3 Series,641460428,,,,Yes,100-1000ul pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0570,2-20ul pipette,,VWR,V-3 Series,741430008,,,,Yes,2-20ul pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0571,100-1000ul single channel pipettor,,VWR,Signature,442265788,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0572,2-20ul single channel pipettor,,VWR,Signature,442234210,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0573,100-1000ul single channel pipettor,,VWR,Signature,442263524,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0574,100-1000ul single channel pipettor,,VWR,Signature,542263651,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0575,20-200ul single channel pipettor,,VWR,Signature,442250443,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0576,20-200ul single channel pipettor,,VWR,Signature,442250425,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0577,100-1000ul single channel pipettor,,VWR,Signature,442263433,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0578,100-1000ul single channel pipettor,,VWR,Signature,442263436,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0579,20-200ul single channel pipettor,,VWR,Signature,542253029,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0580,20-200ul single channel pipettor,,VWR,Signature,442252807,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0581,2-20ul single channel pipettor,,VWR,Signature,542232259,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0582,20-200ul single channel pipettor,,VWR,Signature,542250167,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0583,10-100ul single channel pipettor,FORM,VWR,Signature,742241045,VWR,N/A,N/A,Yes,10-100ul single channel pipettor,Sampling and assays,10-100 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0584,0.5-10ul single channel pipettor,FORM,VWR,Signature,742221366,VWR,N/A,N/A,Yes,0.5-10ul single channel pipettor,Sampling and assays,0.5-10 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0585,2-20ul single channel pipettor,FORM,VWR,Signature,742231840,VWR,N/A,N/A,Yes,2-20ul single channel pipettor,Sampling and assays,2-20 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0586,100-1000ul single channel pipettor,FORM,VWR,Signature,742264339,VWR,N/A,N/A,Yes,100-1000ul single channel pipettor,Sampling and assays,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require calibration,N/A,N/A,N/A
0587,20-200ul Pipette,,VWR,V-3 Series,641450219,,,,Yes,20-200ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0588,0.5-10ul single channel pipettor,,VWR,Signature,442220113,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0589,100-1000ul single channel pipettor,PD,VWR,Signature,442260063,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0590,2-20ul single channel pipettor,,VWR,Signature,442230281,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0591,20-200ul single channel pipettor,PD,VWR,Signature,442250589,VWR,N/A,N/A,Yes,20-200ul single channel pipettor,"Sampling, media and buffer creation",20-200 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0592,10-100ul pipette,,Finnpipette/Thermolabsystems,Focus,AA44457,,,,Yes,10-100ul pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0593,100-1000ul single channel pipettor,,VWR,Signature,742263381,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0594,10-100ul single channel pipettor,,VWR,Signature,742240687,,,,Yes,10-100ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0595,20-200ul single channel pipettor,,VWR,Signature,742253001,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0596,0.2-2ul single channel pipettor,,VWR,Signature,742210724,,,,Yes,0.2-2ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0597,2-20ul single channel pipettor,,VWR,Signature,742230847,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0598,0.5-10ul single channel pipettor,,VWR,Signature,742221649,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0599,20-200ul single channel pipettor,,VWR,Signature,442250577,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0600,2-20ul single channel pipettor,,VWR,Signature,442230235,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0601,100-1000ul single channel pipettor,PD,VWR,Signature,442260154,VWR,N/A,N/A,Yes,100-1000ul single channel pipettor,"Sampling, media and buffer creation",100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0602,0.5-10ul single channel pipettor,PD,VWR,Signature,642220061,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0603,20-200ul single channel pipettor,PD,VWR,Signature,642250938,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0604,100-1000ul single channel pipettor,PD,VWR,Signature,642261777,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0605,2-20ul single channel pipettor,PD,VWR,Signature,542232431,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0606,0.5-10ul single channel pipettor,PD,VWR,Signature,42220104,VWR,N/A,N/A,Yes,0.5-10ul single channel pipettor,Sampling and assays,0.5-10 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,N/A,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0607,20-200ul single channel pipettor,PD,VWR,Signature,442252812,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0608,100-1000ul single channel pipettor,PD,VWR,Signature,442260313,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0609,2-20ul single channel pipettor,PD,VWR,Signature,442232524,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0610,2-20ul single channel pipettor,,VWR,Signature,442230267,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0611,100-1000ul single channel pipettor,,VWR,Signature,742263424,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0612,20-200ul single channel pipettor,,VWR,Signature,442252796,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0613,1-10ul Pipette,,Finnpipette/Thermolabsystems,Focus,AA44156,,,,Yes,1-10ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0614,5-50ul Pipette,,Finnpipette/Thermolabsystems,Focus,AA45300,,,,Yes,5-50ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0615,100-1000ul single channel pipettor,,VWR,Signature,442260136,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0616,20-200ul single channel pipettor,,VWR,Signature,442250580,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0617,2-20ul single channel pipettor,,VWR,Signature,442230289,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0618,2-20ul single channel pipettor,,VWR,Signature,442230142,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0619,20-200ul single channel pipettor,,VWR,Signature,541451284,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0620,0.5-10ul single channel pipettor,,VWR,Signature,442220092,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,acc. % +/-4 - 0.5 prec % +/- 4 - 0.4,,Yes,,,,,,No,,,,
0621,100-1000ul single channel pipettor,,VWR,Signature,442265742,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,acc % +/- 0.9 - 0.6 prec % +/- 0.45 - 0.25,,Yes,,,,,,No,,,,
0622,20-200ul single channel pipettor,,VWR,Signature,442253239,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,acc % +/- 1.2 - 0.6 prec % +/- 0.6 - 0.3,,Yes,,,,,,No,,,,
0623,2-20ul single channel pipettor,,VWR,Signature,442234286,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,acc % +/- 3 - 0.8 prec % +/- 3 - 0.4,,No,,,,,,No,,,,
0624,0.5-10ul single channel pipettor,,VWR,Signature,442220063,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0625,2-20ul single channel pipettor,,VWR,Signature,442230242,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0626,2-20ul single channel pipettor,,VWR,Signature,442230072,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0627,100-1000ul single channel pipettor,,VWR,Signature,442260335,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0628,20-200ul single channel pipettor,,VWR,Signature,442250445,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0629,20-200ul single channel pipettor,,VWR,Signature,442250609,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0630,100-1000ul single channel pipettor,,VWR,Signature,442263507,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0631,100-1000ul single channel pipettor,,VWR,Signature,442263487,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0632,20-200ul single channel pipettor,,VWR,Signature,542251605,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0633,2-20ul single channel pipettor,,VWR,Signature,442232918,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0634,0.5-10ul Pipette,,VWR,V-3 Series,741420291,,,,Yes,0.5-10ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0635,100-1000ul single channel pipettor,,VWR,Signature,642261769,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0636,2-20ul single channel pipettor,,VWR,Signature,542232432,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0637,0.5-10ul single channel pipettor,,VWR,Signature,642220091,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0638,20-200ul single channel pipettor,,VWR,Signature,642251032,,,,Yes,20-200ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0639,15-1250ul multi-channel pipette (8-channel),,M. Technologies,Impact 2,108590104,,,,Yes,15-1250ul multi-channel pipette (8-channel),,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0640,15-1250ul multi-channel pipette (8-channel),,M. Technologies,Impact 2,126819010,,,,Yes,15-1250ul multi-channel pipette (8-channel),,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0641,5-250ul multi-channel pipette (8-channel),,M. Technologies,Impact 2,111130006,,,,Yes,5-250ul multi-channel pipette (8-channel),,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0642,2-20ul single channel pipettor,,VWR,Signature,542230683,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0643,100-1000ul single channel pipettor,,VWR,Signature,542261432,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0644,20-200ul Pipette,,VWR,V-3 Series,741450282,,,,Yes,20-200ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0645,2-20ul single channel pipettor,,VWR,Signature,742232702,,,,Yes,2-20ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0646,0.5-10ul single channel pipettor,,VWR,Signature,742221632,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0647,0.5-10ul single channel pipettor,,VWR,Signature,742221662,,,,Yes,0.5-10ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0648,10-100ul single channel pipettor,,VWR,Signature,742441439,,,,Yes,10-100ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
0649,20-200ul single channel pipettor,FORM,VWR,Signature,742253179,VWR,N/A,N/A,Yes,20-200ul single channel pipettor,Sampling and assay,20-200 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0650,100-1000ul single channel pipettor,,VWR,Signature,742264879,,,,Yes,100-1000ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
0651,10-100ul single channel pipettor,,VWR,Signature,742241428,,,,Yes,10-100ul single channel pipettor,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
