,asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,scan_file,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
186,255,Cell culture jacketed CO2 Incubator,TBD,VWR,2400,10059705,VWR,35910-514,1480,No,Cell culture jacketed CO2 Incubator,TBD,TBD,Other,No,No,No,TBD,Temp.: 37.0 +/- 0.5ºC;                    CO2: 5.0 +/- 0.5%,N/A,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Cal every month from July to Dec 08. Associated with 0252.
187,256,2-8°C Environmental Cold Room,TBD,Harris,custom,N/A,N/A,N/A,N/A,No,2-8°C Environmental Cold Room,TBD,TBD,Other,No,No,Yes,N/A,+/- 0.5,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,AF with Trish to update
188,257,Cryobiological Storage Vessel; LN2,QC,Thermolyne,Locator 4,GFF06D0160,VWR,55709-808,2630,Yes,Cryobiological Storage Vessel; LN2,Emergency back up storage of cryopreserved cells in 1 or 2 mL cryovials,°-135,GMP,Yes,Yes,Yes,N/A,"Temperature tested to be <= -135C.  Level will be measured at the same time to ensure it falls into the acceptance criteria of 6""-8"".",Cal-6,Yes,N/A,Inspect lid and gasket.  Check for leaks.,PM-6,No (Calibration/Maintenance Not Required),,Tier 1,Yes,N/A,N/A,09051-IOQ,N/A
189,258,Liquid Nitrogen Level Sensor,QC,Barnstead International,CY50965,5.09E+11,VWR,55709-866,2630,No,Liquid Nitrogen Level Sensor,To provide a local audio and visual alarm,N/A,GMP,No,No,No,N/A,N/A,N/A,No,There are no moving parts to PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
190,259,VWR Photo Digital Tachometer,MM,VWR,23609-212,51452699,N/A,N/A,N/A,Yes,VWR Photo Digital Tachometer,VWR photo digital tachometer will be used to perform installation and operation qualifications of Acceleron equipment as needed,5.0 to 99.99 RPM,GMP,Yes,No,Yes,N/A,TBD,FALSE,Yes,Replace battery as needed,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,owner/loc??
191,260,VWR Photo Digital Tachometer,EN,VWR,23609-212,61552157,N/A,N/A,N/A,Yes,VWR Photo Digital Tachometer,Measure torque,N/A,GMP,Yes,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no af to check info
192,261,Wave Unit,PD,TBD,TBD,TBD,N/A,N/A,N/A,No,TBD,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
193,262,Eppendorf Repeater plus pipette,QC,Eppendorf,Repeater plus pipette,4116875,VWR,21516-002,N/A,Yes,Eppendorf Repeater plus pipette,used to perform QC testing on components; in-process materials; drug substance + drug product,1µL to 10mL,GMP,No,No,Yes,N/A,100 ul = +/- 0.6%; 1000 ul = +/- 0.5%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
194,263,Timer,TBD,VWR,5500,61578405,N/A,N/A,N/A,Yes,Timer,Used in QC testing of in-process; drug substance; final product,N/A,Other,No,No,No,Equipment will be discarded after mfr. Cal due date of 3/16/08,N/A,N/A,No,Will be discarded after mfr Cal due date of 3/16/08,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
195,264,Pipettor L20,TBD,Rainin,L20,C0200707A,N/A,N/A,N/A,Yes,Pipettor L20,QC testing of raw materials in-process drug substance and drug product,2µL to 20µL,GMP,No,No,Yes,N/A,reptition 1 to 5 overall avg: 2ul 2.046; 10ul 10.014; 20ul 20.053,CAL-12,Yes,Pipettes are examined for wear as part of semi-annual calibration,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2-check owner/loc??-af says it belongs to QC
196,265,Pipettor L1000,QC,Rainin,L1000,J0100284A,Auction,N/A,N/A,Yes,Pipettor L1000,QC testing of raw amterials; in-process; drug substance & drug product,100µL to 1000µL,GMP,No,No,Yes,N/A,100 ul = +/- 3%; 500 & 1000 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
197,266,Pipettor L200,QC,Rainin,L1001,H0100258A,N/A,N/A,N/A,Yes,Pipettor L200,QC testing of raw amterials; in-process; drug substance & drug product,20µL to 200µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,0266_H0100258A Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
198,272,Timer,TBD,VWR,5500,61578286,N/A,N/A,N/A,Yes,Timer,QC testing of in process; drug substance; final product,N/A,Other,No,No,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
199,273,Timer,TBD,VWR,5500,61578286,N/A,N/A,N/A,Yes,Timer,QC testing of in process; drug substance; final product,N/A,Other,No,No,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
200,274,Timer,TBD,VWR,5500,61578286,N/A,N/A,N/A,Yes,Timer,QC testing of in process; drug substance; final product,N/A,Other,No,No,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
201,275,Timer,TBD,VWR,5500,61578286,N/A,N/A,N/A,Yes,Timer,QC testing of in process; drug substance; final product,N/A,Other,No,No,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No,To be discarded after mfr cal due date of 3/16/08,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
202,280,Honeywell chart recorder,TBD,Honeywell,DR4300,0549Y568940300001,N/A,N/A,N/A,No,Honeywell chart recorder,Used to monitor temp of QC refrigerator/freezers/incubators,TBD,Other,No,No,Yes,N/A,display +/- 0.5°C; pen +/- 1°C,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
203,282,Honeywell chart recorder,TBD,Honeywell,DR4200GP,9.03E+14,N/A,N/A,N/A,No,Honeywell chart recorder,Used to monitor temp of QC incubator,0°C to 55°C,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,inspected during calibration,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
204,285,2-8 C Refrigerator 17 Cu Ft.,TBD,Sci-cool,FS17W1AREF,06030613-A06C14-01,N/A,N/A,N/A,No,2-8 C Refrigerator 17 Cu Ft.,2-8°C storage of QC reagents; and samples,2°C to 8°C ,Other,No,No,Yes,N/A,+/- 2,CAL-12,No,User manual does not require scheduled PM cleaning with a mild detergent and defrosting maybe done as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
205,286,Binder Refrigerated Incubators,QC,Binder,KB 115-UL,06-02254,VWR,80079-070,2739,No,Binder Refrigerated Incubators,used to store QC test articles including EM sample plates and stability samples,2-8°C; 20-25°C; 30-35°C,GMP,No,No,Yes,N/A,temp: 22.5 +/- 0.5°C,CAL-6,Yes,N/A,(1) Inspect all tubing; regulators & solenoids for leaks (2) Inspect inner & outer door seals & gaskets (3) Chk door heaters & adjust if necessary (4) Chk overtemp & safety alarms (5) Inspect air compressors & diffusion fans (6) Chk refrigeration system,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,Yes,TBD,N/A,06025-IOQ,Associated with chart recorder 0279
206,287,Digital Sling Psychrometer/Thermometer,TBD,Amprobe,THWD-2i,5120523,N/A,N/A,N/A,No,Digital Sling Psychrometer/Thermometer,To monitor temperature and humidity in Animal holding room #1,Humidity: 0-100%; Temperature: 50-90°F,GMP,No,No,Yes,N/A,TBD,CAL-12,Yes,Not used for manufacturing,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
207,288,Digital Sling Psychrometer/Thermometer,TBD,Amprobe,THWD-2i,5120606,N/A,N/A,N/A,No,Digital Sling Psychrometer/Thermometer,To monitor temperature and humidity in animal holding room #2,Humidity: 0-100%; Temperature: 50-90°F,GMP,No,No,Yes,N/A,TBD,CAL-12,Yes,Not used for manufacturing,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
208,289,Pump,TBD,Watson Marlow,520 Di/L,6071311,Tom Moss & Assoc,050.7171.5LA,3061,Yes,Pump,Solution transfers; Filtration and Chromotography use,N/A,GMP,No,No,No,Flowrates are determiend manually during each use,N/A,N/A,No,Tubing installation checks all working parts prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
209,290,Pump,TBD,Watson Marlow,521 Di/L,6071312,Tom Moss & Assoc,060.4131.02A,3061,Yes,Pump,Solution transfers; Filtration and Chromotography use,N/A,GMP,No,No,No,Flowrates are determiend manually during each use,N/A,N/A,No,Tubing installation checks all working parts prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
210,291,Pump,TBD,Watson Marlow,522 Di/L,6071313,Tom Moss & Assoc,060.4131.02A,3001,Yes,Pump,Solution transfers; Filtration and Chromotography use,N/A,GMP,No,No,No,Flowrates are determiend manually during each use,N/A,N/A,No,Tubing installation checks all working parts prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
211,292,Pump,TBD,Watson Marlow,523 Di/L,6071314,Tom Moss & Assoc,050.7131.10A,3061,Yes,Pump,Solution transfers; Filtration and Chromotography use,N/A,GMP,No,No,No,Flowrates are determiend manually during each use,N/A,N/A,No,Tubing installation checks all working parts prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
212,293,Pump,PD,Watson Marlow,520 S/R,6090112,N/A,N/A,3061,Yes,Pump,Solution transfers; filtrations and chromatography use,N/A,Other,No,No,No,Flowrates are determined manually during each use,N/A,N/A,No,Tubing installations clean all working parts prior to each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
213,294,BPG column,PD,Amersham Bioscience,BPG 200/500,6082041,GE Healthcare,18-1103-11,2826,No,BPG column,Protein Chromatography,N/A,Other,No,No,No,Item is manually operated using a pump; from which flowrates are measured over one minute,N/A,N/A,No,Prior to each use item is inspected thoroughly,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,owner/location???
214,296,Size Exclusion Chromotagraphy,TBD,Amersham Bioscience,17-5173-01,548104,Amersham BioScience,17-5173-01,N/A,No,Size Exclusion Chromotagraphy,SEC of in-process; final drug substance and drug product testing,N/A,Other,No,No,No,Molecular weight marker run over column prior to sample analysis. HPLC is calibrated yearly. Standards run over column to assure separation,N/A,N/A,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
215,297,VWR CO2 Incubator; Incubator 25,TBD,VWR Sheldon,2400,5067606,N/A,N/A,3087,No,VWR CO2 Incubator; Incubator 25,Incubation of conditioned medium and provided suitable environment for CHO cell growth ,0-20% CO2; Ambient to 60°C,Other,Yes,Yes,Yes,N/A,+/- 0.5 @ 5 co2; +/- 0.5C @ 37°C,CAL-12,Yes,Owners manual Rev 04/05 4861519 page 19,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
216,298,VWR CO2 Incubator; Incubator 26,TBD,VWR Sheldon,2400,5067606,VWR,35910-514,3087,No,VWR CO2 Incubator; Incubator 26,Incubation of conditioned medium and provided suitable environment for CHO cell growth ,0-20% CO2; Ambient to 60°C,Other,Yes,Yes,Yes,N/A,+/- 0.5°C & co2; +/- 0.5,CAL-12,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,06032-IOQ,N/A
217,299,Orbital Shaker,TBD,Henry Troemner LLC,DS-500,60530008,VWR,57018-754,3087,No,Orbital Shaker,Shake conditioned medium with cells to maintain them in suspension,25 to 500 rpm,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,06035-IOQ,owner/dept/location?? Cal/pm schedule chg'd to annual?? update form.
218,300,Orbital Shaker,TBD,Henry Troemner LLC,DS-501,60530009,VWR,57018-754,3087,No,Orbital Shaker,Shake conditioned medium with cells to maintain them in suspension,26 to 500 rpm,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,06034-IOQ,owner/dept/location?? Cal/pm schedule chg'd to annual?? update form.
219,301,Honeywell Chart Recorder,TBD,Honeywell,DR4300,0635Y67-1665900001,Industrial Controls,DR4311,3108,No,Honeywell Chart Recorder,Record temperature of incubator,0°C to 55°C,Other,No,No,Yes,N/A,TBD,CAL-6,No,According to manual 44-01-25-14 for DR4300 (in electronic folder); no maintenance is required unless in dusty area,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,owner/dept/location?? Cal/pm schedule chg'd to annual?? update form.
220,302,Honeywell Chart Recorder,TBD,Honeywell,DR4301,0635Y67-1665900002,Industrial Controls,DR4311,3108,No,Honeywell Chart Recorder,Record temperature of incubator,0°C to 55°C,Other,No,No,Yes,N/A,TBD,CAL-6,No,According to manual 44-01-25-14 for DR4300 (in electronic folder); no maintenance is required unless in dusty area,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,owner/dept/location?? Cal/pm schedule chg'd to annual?? update form.
221,303,Biological Safety Cabinet,TBD,Baker,SG603,70052,Biodirect,BSBK0A08,3033,No,Biological Safety Cabinet,Perform Aseptic operations in cell culture,N/A,Other,No,Yes,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,owner changed. Check location as well.
222,304,Beckman Allegra 6R Refridgerated Benchtop Centrifuge,TBD,Beckman,Allegra-6R,ALR98K99,Biodirect,CNBK-0A02,3033,No,Beckman Allegra 6R Refridgerated Benchtop Centrifuge,Centrifugation of cells and cell (CAT # Beckman 366876) culture media to make cell pellets and cell fire media,2°C to 8°C; 1000-1500rpm,Other,No,No,No,N/A,+/- 5% RPM; +/- 2C,N/A,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
223,305,Mettler Toledo Top Loading Balance,TBD,Mettler Toledo,PB1502-S/FACT,1127323468,N/A,N/A,N/A,No,Mettler Toledo Top Loading Balance,TBD,TBD,GMP,No,No,Yes,N/A,+/- 0.02,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,owner/location/dept????
224,306,Cuvette Set,QC,VWR,58016-480,N/A,VWR,58016-480,N/A,Yes,Cuvette Set,Used in the protein concentraation by A280 assay TM005,N/A,GMP,No,No,No,Daily use regulates septem suitability Check with NIST traceable std per TM005,N/A,N/A,No,Daily use requires claiming immediately prior to use per TM005,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
225,307,Cuvette Set,QC,VWR,58016-481,N/A,VWR,58016-480,N/A,Yes,Cuvette Set,Used in the protein concentraation by A280 assay TM006,N/A,GMP,No,No,No,Daily use regulates septem suitability Check with NIST traceable std per TM006,N/A,N/A,No,Daily use requires claiming immediately prior to use per TM006,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
226,308,Pipet-Lite LTS pipet 2-20 ul,QC,Rainin,L-20,H0646085A,Rainin,L-20,3162,Yes,Pipet-Lite LTS pipet 2-20 ul,Used for testing (assays) of samples generated by manufacturing,2µL to 20µL,GMP,No,No,Yes,N/A,2 ul = +/- 7.5%; 10 ul = +/- 1.5%; 20 ul = +/- 1%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
227,309,Pipet-Lite LTS pipet 2-20 ul,QC,Rainin,L-21,H0646070A,Rainin,L-20,3162,Yes,Pipet-Lite LTS pipet 2-20 ul,Used for testing of samples generated by manufacturing,2µL to 20µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,0309_H0646070A Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
228,310,Pipet-Lite LTS pipet 2-20 ul,QC,Rainin,L-22,H0646135A,Rainin,L-20,3162,Yes,Pipet-Lite LTS pipet 2-20 ul,Used for testing of samples generated by manufacturing,2µL to 20µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,0310_H0646135A Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
229,312,Size Exclusion Column,TBD,Amersham Bioscience,Superose 12 10/300 GL,622092,GE Healthcare,17-5173-01,N/A,No,Size Exclusion Column,SEC of in-process; drug substance; and final drug product,N/A,Other,No,No,No,Molecular weight marker is run over column before sample is loaded. This is done as part of SOP for assay in which it is used,N/A,N/A,No,Column equiliberated prior to IAW QC0018,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
230,313,BPG 100/500 Column,PD,Amersham Bioscience,BPG 100/500,0504/1335,No,No,No,No,BPG 100/500 Column,Protein purification,No,Other,No,No,No,Item has no parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,No,N/A
231,314,BPG 300/500 Column,TBD,Amersham Bioscience,BPG 300/500,30029150,GE Healthcare,18-1103-21,Auction,No,BPG 300/500 Column,Protein purification,N/A,GMP,No,No,No,Item does not have parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,TBD,N/A,N/A
232,315,BPG 140/500 Column,PD,Amersham Bioscience,BPG 100/501,0504/1336,GE Healthcare,18-1113-08,2866,No,BPG 140/500 Column,Protein purification,N/A,Other,No,No,No,Item has no parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
233,316,BPG 100/900 Column,PD,Amersham Bioscience,BPG 100/502,0504/1337,GE Healthcare,18-1103-03,2867,No,BPG 100/900 Column,Protein purification,N/A,Other,No,No,No,Item has no parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
234,317,BPG 100/500 Column,PD,Amersham Bioscience,BPG 100/503,0504/1338,GE Healthcare,18-1103-01,2868,No,BPG 100/500 Column,Protein purification,N/A,Other,No,No,No,Item has no parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
235,318,BPG 100/500 Column,TBD,Amersham Bioscience,BPG 100/504,0504/1339,GE Healthcare,18-1103-01,2869,No,BPG 100/500 Column,Protein purification,N/A,Other,No,No,No,Item has no parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,owner/location???
236,319,BPG 100/500 Column,PD,Amersham Bioscience,BPG 100/505,0504/1340,GE Healthcare,18-1103-01,2870,No,BPG 100/500 Column,Protein purification,N/A,Other,No,No,No,Item has no parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,owner/location??
237,320,Manometer (0-5 Bar),TBD,Osaka,18-1031-07,5J-00452,GE Healthcare,18-1031-07,2866,Yes,Manometer (0-5 Bar),Measure pressure over process columns,0-5 bar,GMP,No,No,Yes,N/A,pressure: 0;3;5 +/- 0.2 bar,CAL-6,No,No PM required for pressure gauges,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,(1) The operating range of this manometer is 0 to 5 bar. However; upon inspection of the equipment folder; one certificate says calibration done at 0;5;10 psi...?
238,321,Manometer,PD,Osaka,18-1031-07,5K-00684,GE Healthcare,18-1031-07,2866,Yes,Manometer,Measure pressure over process columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 bar,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,owner has chg'd. The accession form also needs to be updated from semi-annual to annual.
239,322,Manometer,PD,Osaka,18-1031-08,5K-00685,GE Healthcare,18-1031-07,2867,Yes,Manometer,Measure pressure over process columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 bar,CAL-7,Yes,N/A,TBD,PM-7,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,owner has chg'd. The accession form also needs to be updated from semi-annual to annual.
240,323,Manometer,MF,Osaka,18-1031-08,5J-00453,GE Healthcare,18-1031-07,3196,Yes,Manometer,Measure pressure over process columns,0-10 bar,GMP,No,No,Yes,N/A,pressure: 0;5;10 +/- 0.5 bar,CAL-6,No,No PM required for pressure gauges,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
241,324,Manometer,PD,Osaka,18-1031-09,5K-00686,GE Healthcare,18-1031-07,2868,Yes,Manometer,Measure pressure over process columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 bar,CAL-8,Yes,N/A,TBD,PM-8,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,owner has chg'd. The accession form also needs to be updated from semi-annual to annual.
242,327,BPG 200/500,PD,Amersham Bioscience,BPG 200/500,6102129,GE Healthcare,18-1103-11,3196,No,BPG 200/500,Protein purification,N/A,Other,No,No,No,Item does not have parts that need calibration,N/A,N/A,No,Item is inspected prior to use and cleaned during each use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,I think this is with dev. Need to investigate
243,328,Beckman Coulter Allegra X-12R Centrifuge,MF,Beckman Coulter,ALLEGRA X-12R,ALX06G50,VWR,392302,N/A,No,Beckman Coulter Allegra X-12R Centrifuge,Centrifugation of conditioned media and other fluids,2°C to 8°C; 1000-1500rpm,Other,Yes,No,No,N/A,+/- 50 @ 1000 rpm; +/- 50 @ 3000 rpm; +/- 2 @ 4°C;+/- 1 @ +/- 0:06,N/A,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,06037-IQ,N/A
244,331,Timer,PD,TBD,TBD,TBD,N/A,N/A,N/A,Yes,TBD,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
245,337,Timer,PD,TBD,TBD,TBD,N/A,N/A,N/A,Yes,TBD,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
246,338,Timer,PD,TBD,TBD,TBD,N/A,N/A,N/A,Yes,TBD,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
247,340,Power Supply,QC,BioRad,PowerPac HC,043BR16044,Biorad,164-5052,N/A,Yes,Power Supply,To supply electrical current for the seperation of proteins,5V to 250V,GMP,No,Yes,Yes,N/A,100V & 250V +/- 1%; time 5 min +/- 1 min; only voltage & time are relevant,CAL-6,No,Wipe off outer case as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,08054-IOQ,(1) Previously Alerts service shts was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked (2) Only voltage & time are relevant however amp has been tested also.
248,341,Positive Displacement Pipette 3-25ul,QC,Rainin,MR-25,J0693373H,Rainin,MR-25,3650,No,Positive Displacement Pipette 3-25ul,QC testing of raw amterials; in-process; drug substance & drug product,3µL to 25µL,GMP,No,No,Yes,N/A,3 ul = +/- 8.3%; 10 ul = +/- 2.7%; 25 ul = +/- 1.2%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
249,342,Positive Displacement Pipette 3-25ul,QC,Rainin,MR-26,J0693394H,Rainin,MR-25,3650,No,Positive Displacement Pipette 3-25ul,QC testing of raw amterials; in-process; drug substance & drug product,3µL to 25µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,0342_J0693394H Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
250,343,Positive Displacement Pipette 10-100ul,QC,Rainin,MR-100,K0697316I,Rainin,MR-100,3650,No,Positive Displacement Pipette 10-100ul,QC testing of raw amterials; in-process; drug substance & drug product,10µL to 100µL,GMP,No,No,Yes,N/A,10 ul = +/- 5%; 50 ul = +/- 1.5%; 100 ul = +/- 1%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
251,344,Positive Displacement Pipette 10-100ul,QC,Rainin,MR-101,K0697274I,Rainin,MR-100,3650,No,Positive Displacement Pipette 10-100ul,QC testing of raw amterials; in-process; drug substance & drug product,10µL to 100µL,GMP,No,No,Yes,N/A,10 ul = +/- 5%; 50 ul = +/- 1.5%; 100 ul = +/- 1%,CAL-6,Yes,N/A,See paper accession form.,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,See paper accession form.,N/A,Level 4
252,345,Positive Displacement Pipette 100-1000ul,QC,Rainin,MR-102,J0693607J,Rainin,MR-1000,3650,No,Positive Displacement Pipette 100-1000ul,QC testing of raw amterials; in-process; drug substance & drug product,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 pm,PM-6,Yes,0345_J0693607J_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
